ID	DOCULECT	PARAMETER	VALUE	IPA	TOKENS	ALIGNMENT	COGID	NOTE
596	German	*skuldrō	Schulter	ʃʊltər	ʃ ʊ l t ə r	ʃ - ʊ l t ə r ( - )	162	
597	English	*skuldrō	shoulder	ʃəʊldər	ʃ əʊ l d ə r	ʃ - əʊ l d ə r ( - )	162	
598	Dutch	*skuldrō	schouder	sxɑudər	s x ɑu d ə r	s x ɑu - d ə r ( - )	162	
599	Proto-Germanic	*sturkaz	*sturkaz	sturkaz	s t u r k a z	s t u r k ( a z )	163	
600	German	*sturkaz	Storch	ʃtɔrx	ʃ t ɔ r x	ʃ t ɔ r x ( - - )	163	
601	English	*sturkaz	stork	stɔːk	s t ɔː k	s t ɔː - k ( - - )	163	
602	Proto-Germanic	*xuzdan	*xuzdan	xuzdan	x u z d a n	x u z d ( a n )	164	
603	German	*xuzdan	Hort	hɔrt	h ɔ r t	h ɔ r t ( - - )	164	
604	English	*xuzdan	hoard	hɔːd	h ɔː d	h ɔː - d ( - - )	164	
605	Proto-Germanic	*kwalō	*kwalō	kwaloː	k w a l oː	k w a l ( oː )	165	
606	German	*kwalō	Qual	kvaːl	k v aː l	k v aː l ( - )	165	
607	Dutch	*kwalō	kwaal	kʋaːl	k ʋ aː l	k ʋ aː l ( - )	165	
608	Proto-Germanic	*end	*end	end	e n d	- e n ( d )	166	
609	German	*end	ein	ain	ai n	- ai n ( - )	166	
610	English	*end	one	ʋʌn	ʋ ʌ n	ʋ ʌ n ( - )	166	
611	Dutch	*end	een	eːn	eː n	- eː n ( - )	166	
612	Proto-Germanic	*stōdan	*stōdan	stoːdan	s t oː d a n	s t oː d a ( n )	167	
613	German	*stōdan	Stute	ʃtuːtə	ʃ t uː t ə	ʃ t uː t ə ( - )	167	
614	English	*stōdan	stud	stʌd	s t ʌ d	s t ʌ d - ( - )	167	
615	Proto-Germanic	*raθan	*raθan	raθan	r a θ a n	r a θ ( a n )	168	
616	German	*raθan	Rad	raːt	r aː t	r aː d ( - - )	168	
617	Dutch	*raθan	rad	rɑt	r ɑ t	r ɑ t ( - - )	168	
618	Proto-Germanic	*θurpan	*θurpan	θurpan	θ u r p a n	θ u r p ( a n )	169	
619	German	*θurpan	Dorf	dɔrf	d ɔ r f	d ɔ r f ( - - )	169	
620	Dutch	*θurpan	dorp	dɔrp	d ɔ r p	d ɔ r p ( - - )	169	
621	Proto-Germanic	*libēnan	*libēnan	libeːnan	l i b eː n a n	l i b eː n ( a n )	170	
622	German	*libēnan	leben	leːbən	l eː b ə n	l eː b ə n ( - - )	170	
623	English	*libēnan	live	laɪv	l aɪ v	l aɪ v - - ( - - )	170	
624	Dutch	*libēnan	leven	leːvə	l eː v ə	l eː v ə - ( - - )	170	
625	Proto-Germanic	*geftiz	*geftiz	geftiz	g e f t i z	g e f t ( i z )	171	
626	German	*geftiz	Gift	ɡɪft	g ɪ f t	g ɪ f t ( - - )	171	
627	English	*geftiz	gift	ɡɪft	g ɪ f t	g ɪ f t ( - - )	171	
628	Dutch	*geftiz	gift	xɪft	x ɪ f t	x ɪ f t ( - - )	171	
629	Proto-Germanic	*xurnan	*xurnan	xurnan	x u r n a n	x u r n ( a n )	172	
630	German	*xurnan	Horn	hɔrn	h ɔ r n	h ɔ r n ( - - )	172	
631	English	*xurnan	horn	hɔːn	h ɔː n	h ɔː - n ( - - )	172	
632	Dutch	*xurnan	hoorn	hoːrn	h oː r n	h oː r n ( - - )	172	
633	Proto-Germanic	*nabō	*nabō	naboː	n a b oː	n a b oː	173	
634	German	*nabō	Nabe	naːbə	n aː b ə	n aː b ə	173	
635	English	*nabō	nave	neɪv	n eɪ v	n eɪ v -	173	
636	Dutch	*nabō	naaf	naːf	n aː f	n aː f -	173	
637	Proto-Germanic	*xelmaz	*xelmaz	xelmaz	x e l m a z	x e l m ( a z )	174	
638	German	*xelmaz	Helm	hɛlm	h ɛ l m	h ɛ l m ( - - )	174	
639	English	*xelmaz	helm	hɛlm	h ɛ l m	h ɛ l m ( - - )	174	
640	Dutch	*xelmaz	helm	hɛlm	h ɛ l m	h ɛ l m ( - - )	174	
641	Proto-Germanic	*wagnaz	*wagnaz	wagnaz	w a g n a z	w a g - n ( a z )	175	
642	German	*wagnaz	Wagen	vaːɡən	v aː g ə n	v aː g ə n ( - - )	175	
643	English	*wagnaz	wain	ʋeɪn	ʋ eɪ n	ʋ eɪ - - n ( - - )	175	
644	Dutch	*wagnaz	wagen	ʋaːɣə	ʋ aː ɣ ə	ʋ aː ɣ ə - ( - - )	175	
645	Proto-Germanic	*bō	*bō	boː	b oː	b oː ( - - )	176	
646	German	*bō	beide	baidə	b ai d ə	b ai ( d ə )	176	
647	English	*bō	both	bəʊθ	b əʊ θ	b əʊ ( θ - )	176	
648	Dutch	*bō	beide	bɛɪdə	b ɛɪ d ə	b ɛɪ ( d ə )	176	
649	Proto-Germanic	*meldōn	*meldōn	meldoːn	m e l d oː n	m e l d oː ( n )	177	
650	German	*meldōn	Melde	mɛldə	m ɛ l d ə	m ɛ l d ə ( - )	177	BOR
651	Dutch	*meldōn	melde	mɛldə	m ɛ l d ə	m ɛ l d ə ( - )	177	
652	Proto-Germanic	*mizdō	*mizdō	mizdoː	m i z d oː	m i z d oː	178	
653	German	*mizdō	Miete	miːtə	m iː t ə	m iː - t ə	178	
654	English	*mizdō	meed	miːd	m iː d	m iː - d -	178	
655	Proto-Germanic	*θeubaz	*θeubaz	θeubaz	θ eu b a z	θ eu b ( a z )	179	
656	German	*θeubaz	Dieb	diːp	d iː p	d iː b ( - - )	179	
657	English	*θeubaz	thief	θiːf	θ iː f	θ iː f ( - - )	179	
658	Dutch	*θeubaz	dief	diːf	d iː f	d iː f ( - - )	179	
659	Proto-Germanic	*wadanan	*wadanan	wadanan	w a d a n a n	w a d a n ( a n )	180	
660	German	*wadanan	waten	vaːtən	v aː t ə n	v aː t ə n ( - - )	180	
661	English	*wadanan	wade	ʋeɪd	ʋ eɪ d	ʋ eɪ d - - ( - - )	180	
662	Dutch	*wadanan	waden	ʋaːdə	ʋ aː d ə	ʋ aː d ə - ( - - )	180	
663	Proto-Germanic	*wedran	*wedran	wedran	w e d r a n	w e d - r ( a n )	181	
664	German	*wedran	Wetter	vɛtər	v ɛ t ə r	v ɛ t ə r ( - - )	181	
665	English	*wedran	weather	ʋɛðər	ʋ ɛ ð ə r	ʋ ɛ ð ə r ( - - )	181	
666	Dutch	*wedran	weder	ʋeːdər	ʋ eː d ə r	ʋ eː d ə r ( - - )	181	
667	Proto-Germanic	*lauban	*lauban	lauban	l au b a n	l au b ( a n )	182	
668	German	*lauban	Laub	laup	l au p	l au b ( - - )	182	
669	English	*lauban	leaf	liːf	l iː f	l iː f ( - - )	182	
670	Dutch	*lauban	loof	loːf	l oː f	l oː f ( - - )	182	
671	Proto-Germanic	*melukz	*melukz	melukz	m e l u k z	m e l u k ( z )	183	
672	German	*melukz	Milch	mɪlx	m ɪ l x	m ɪ l - x ( - )	183	
673	English	*melukz	milk	mɪlk	m ɪ l k	m ɪ l - k ( - )	183	
674	Dutch	*melukz	melk	mɛlk	m ɛ l k	m ɛ l - k ( - )	183	
675	Proto-Germanic	*sturmaz	*sturmaz	sturmaz	s t u r m a z	s t u r m ( a z )	184	
676	German	*sturmaz	Sturm	ʃtʊrm	ʃ t ʊ r m	ʃ t ʊ r m ( - - )	184	
677	English	*sturmaz	storm	stɔːm	s t ɔː m	s t ɔː - m ( - - )	184	
678	Dutch	*sturmaz	storm	stɔrm	s t ɔ r m	s t ɔ r m ( - - )	184	
679	Proto-Germanic	*wēpnan	*wēpnan	weːpnan	w eː p n a n	w eː p n a n	185	
680	German	*wēpnan	Waffe	vafə	v a f ə	v a f - ə -	185	
681	English	*wēpnan	weapon	ʋɛpən	ʋ ɛ p ə n	ʋ ɛ p - ə n	185	
682	Dutch	*wēpnan	wapen	ʋaːpə	ʋ aː p ə	ʋ aː p - ə -	185	
683	Proto-Germanic	*swellanan	*swellanan	swellanan	s w e ll a n a n	s w e ll a n ( a n )	186	
684	German	*swellanan	schwellen	ʃvɛlən	ʃ v ɛ l ə n	ʃ v ɛ l ə n ( - - )	186	
685	English	*swellanan	swell	sʋɛl	s ʋ ɛ l	s ʋ ɛ l - - ( - - )	186	
686	Proto-Germanic	*luban	*luban	luban	l u b a n	l u b ( a n )	187	
687	German	*luban	Lob	loːp	l oː p	l oː b ( - - )	187	
688	Dutch	*luban	lof	lɔf	l ɔ f	l ɔ f ( - - )	187	
689	Proto-Germanic	*uxsōn	*uxsōn	uxsoːn	u x s oː n	u x s oː ( n )	188	
690	German	*uxsōn	Ochse	ɔksə	ɔ k s ə	ɔ k s ə ( - )	188	
691	English	*uxsōn	ox	ɔks	ɔ k s	ɔ k s - ( - )	188	
692	Dutch	*uxsōn	os	ɔs	ɔ s	ɔ - s - ( - )	188	
693	Proto-Germanic	*wainōjanan	*wainōjanan	wainoːjanan	w ai n oː j a n a n	w ai n oː j a n a n	189	
694	German	*wainōjanan	weinen	vainən	v ai n ə n	v ai n - - ə n - -	189	
695	English	*wainōjanan	whine	ʋaɪn	ʋ aɪ n	ʋ aɪ n - - - - - -	189	
696	Proto-Germanic	*sunuz	*sunuz	sunuz	s u n u z	s u n ( u z )	190	
697	German	*sunuz	Sohn	zoːn	z oː n	z oː n ( - - )	190	
698	Dutch	*sunuz	zoon	zoːn	z oː n	z oː n ( - - )	190	
699	Proto-Germanic	*waxsanan	*waxsanan	waxsanan	w a x s a n a n	w a x s a n ( a n )	191	
700	German	*waxsanan	wachsen	vaksən	v a k s ə n	v a k s ə n ( - - )	191	
701	English	*waxsanan	wax	ʋæks	ʋ æ k s	ʋ æ k s - - ( - - )	191	
702	Dutch	*waxsanan	wassen	ʋɑsə	ʋ ɑ s ə	ʋ ɑ - s ə - ( - - )	191	
703	Proto-Germanic	*felθuz	*felθuz	felθuz	f e l θ u z	f e l θ ( u z )	192	
704	German	*felθuz	Feld	fɛlt	f ɛ l t	f ɛ l d ( - - )	192	
705	English	*felθuz	field	fiːld	f iː l d	f iː l d ( - - )	192	
706	Dutch	*felθuz	veld	vɛlt	v ɛ l t	v ɛ l t ( - - )	192	
707	Proto-Germanic	*walθuz	*walθuz	walθuz	w a l θ u z	w a l θ ( u z )	193	
708	German	*walθuz	Wald	valt	v a l t	v a l d ( - - )	193	
709	English	*walθuz	wold	ʋəʊld	ʋ əʊ l d	ʋ əʊ l d ( - - )	193	
710	Dutch	*walθuz	woud	ʋɑut	ʋ ɑu t	ʋ ɑu - t ( - - )	193	
711	Proto-Germanic	*raukiz	*raukiz	raukiz	r au k i z	r au k ( i z )	194	
712	German	*raukiz	Rauch	raux	r au x	r au x ( - - )	194	
713	English	*raukiz	reek	riːk	r iː k	r iː k ( - - )	194	
714	Dutch	*raukiz	rook	roːk	r oː k	r oː k ( - - )	194	
715	Proto-Germanic	*ūruz	*ūruz	uːruz	uː r u z	uː - r ( u - z - )	195	
716	German	*ūruz	Auerochse	auərɔksə	au ə r ɔ k s ə	au ə r ( ɔ k s ə )	195	
717	Dutch	*ūruz	oeros	uːrɔs	uː r ɔ s	uː - r ( ɔ - s - )	195	
718	Proto-Germanic	*θengaz	*θengaz	θengaz	θ e n g a z	θ e n g ( a z )	196	
719	German	*θengaz	Ding	dɪŋ	d ɪ ŋ	d ɪ ŋ - ( - - )	196	
720	English	*θengaz	thing	θɪŋ	θ ɪ ŋ	θ ɪ ŋ - ( - - )	196	
721	Dutch	*θengaz	ding	dɪŋ	d ɪ ŋ	d ɪ ŋ - ( - - )	196	
722	Proto-Germanic	*mōdaz	*mōdaz	moːdaz	m oː d a z	m oː d ( a z )	197	
723	German	*mōdaz	Mut	muːt	m uː t	m uː t ( - - )	197	
724	English	*mōdaz	mood	muːd	m uː d	m uː d ( - - )	197	
725	Dutch	*mōdaz	moed	muːt	m uː t	m uː t ( - - )	197	
726	Proto-Germanic	*skūflō	*skūflō	skuːfloː	s k uː f l oː	s k uː f - l ( oː )	198	
727	German	*skūflō	Schaufel	ʃaufəl	ʃ au f ə l	ʃ - au f ə l ( - )	198	
728	English	*skūflō	shovel	ʃʌvḷ	ʃ ʌ v ə l	ʃ - ʌ v ə l ( - )	198	
729	Dutch	*skūflō	schoffel	sxɔfəl	s x ɔ f ə l	s x ɔ f ə l ( - )	198	
731	German	*segez	Sieg	ziːk	z iː k	z iː g ( - - )	369
732	Dutch	*segez	zege	zeːɣə	z eː ɣ ə	z eː ɣ ( ə - )	199
733	Proto-Germanic	*segez	*segez	segez	s e g e z	s e g ( e z )	369	
734	Proto-Germanic	*randiz	*randiz	randiz	r a n d i z	r a n d ( i z )	200	
735	German	*randiz	Rand	rant	r a n t	r a n d ( - - )	200	
736	Dutch	*randiz	rand	rɑnt	r ɑ n t	r ɑ n t ( - - )	200	
737	Proto-Germanic	*strakkjanan	*strakkjanan	strakkjanan	s t r a kk j a n a n	s t r a kk j a n ( a n )	201	
738	German	*strakkjanan	strecken	ʃtrɛkən	ʃ t r ɛ k ə n	ʃ t r ɛ k - ə n ( - - )	201	
739	English	*strakkjanan	stretch	strɛʧ	s t r ɛ tʃ	s t r ɛ tʃ - - - ( - - )	201	
740	Dutch	*strakkjanan	strekken	strɛkə	s t r ɛ k ə	s t r ɛ k - ə - ( - - )	201	
741	Proto-Germanic	*rustō	*rustō	rustoː	r u s t oː	r u s t ( oː )	202	
742	German	*rustō	Rost	rɔst	r ɔ s t	r ɔ s t ( - )	202	
743	English	*rustō	rust	rʌst	r ʌ s t	r ʌ s t ( - )	202	
744	Dutch	*rustō	roest	ruːst	r uː s t	r uː s t ( - )	202	
745	Proto-Germanic	*stangō	*stangō	stangoː	s t a n g oː	s t a n g oː	203	
746	German	*stangō	Stange	ʃtaŋə	ʃ t a ŋ ə	ʃ t a ŋ - ə	203	
747	Dutch	*stangō	stang	stɑŋ	s t ɑ ŋ	s t ɑ ŋ - -	203	
748	Proto-Germanic	*drankan	*drankan	drankan	d r a n k a n	d r a n k ( a n )	204	
749	German	*drankan	Trank	traŋk	t r a ŋ k	t r a ŋ k ( - - )	204	
750	English	*drankan	drench	drɛnʧ	d r ɛ n tʃ	d r ɛ n tʃ ( - - )	204	
751	Dutch	*drankan	drank	drɑŋk	d r ɑ ŋ k	d r ɑ ŋ k ( - - )	204	
752	Proto-Germanic	*gallan	*gallan	gallan	g a ll a n	g a ll a ( n )	205	
753	German	*gallan	Galle	ɡalə	g a l ə	g a l ə ( - )	205	
754	English	*gallan	gall	ɡɔːl	g ɔː l	g ɔː l - ( - )	205	
755	Dutch	*gallan	gal	xɑl	x ɑ l	x ɑ l - ( - )	205	
756	Proto-Germanic	*gebanan	*gebanan	gebanan	g e b a n a n	g e b a n ( a n )	206	
757	German	*gebanan	geben	ɡeːbən	g eː b ə n	g eː b ə n ( - - )	206	
758	English	*gebanan	give	ɡɪv	g ɪ v	g ɪ v - - ( - - )	206	
759	Dutch	*gebanan	geven	xeːvə	x eː v ə	x eː v ə - ( - - )	206	
760	Proto-Germanic	*xagōn	*xagōn	xagoːn	x a g oː n	x a g ( oː n )	207	
761	German	*xagōn	Hag	haːk	h aː k	h aː k ( - - )	207	
762	English	*xagōn	haw	hɔː	h ɔː	h ɔː - ( - - )	207	
763	Dutch	*xagōn	haag	haːx	h aː x	h aː x ( - - )	207	
764	Proto-Germanic	*mēnōθz	*mēnōθz	meːnoːθz	m eː n oː θ z	m eː n oː θ ( z )	208	
765	German	*mēnōθz	Monat	moːnaːt	m oː n aː t	m oː n a t ( - )	208	IRR
766	English	*mēnōθz	month	mʌnθ	m ʌ n θ	m ʌ n - θ ( - )	208	
767	Dutch	*mēnōθz	maand	maːnt	m aː n t	m aː n - t ( - )	208	
768	Proto-Germanic	*daigaz	*daigaz	daigaz	d ai g a z	d ai g ( a z )	209	
769	German	*daigaz	Teig	taik	t ai k	t ai g ( - - )	209	
770	English	*daigaz	dough	dəʊ	d əʊ	d əʊ - ( - - )	209	
771	Dutch	*daigaz	deeg	deːx	d eː x	d eː x ( - - )	209	
772	Proto-Germanic	*werθanan	*werθanan	werθanan	w e r θ a n a n	w e r θ a n ( a n )	210	
773	German	*werθanan	werden	veːrdən	v eː r d ə n	v eː r d ə n ( - - )	210	
774	Dutch	*werθanan	worden	ʋɔrdə	ʋ ɔ r d ə	ʋ ɔ r d ə - ( - - )	210	
775	Proto-Germanic	*knakkaz	*knakkaz	knakkaz	k n a kk a z	k n a kk a z	211	
776	German	*knakkaz	Knecht	knɛxt	k n ɛ x t	k n ɛ x - t	211	
777	English	*knakkaz	knight	naɪt	n aɪ t	- n aɪ - - t	211	
778	Dutch	*knakkaz	knecht	knɛxt	k n ɛ x t	k n ɛ x - t	211	
779	Proto-Germanic	*ēlaz	*ēlaz	eːlaz	eː l a z	eː l ( a z )	212	
780	German	*ēlaz	Aal	aːl	aː l	aː l ( - - )	212	
781	English	*ēlaz	eel	iːl	iː l	iː l ( - - )	212	
782	Dutch	*ēlaz	aal	aːl	aː l	aː l ( - - )	212	
783	Proto-Germanic	*fulkan	*fulkan	fulkan	f u l k a n	f u l k ( a n )	213	
784	German	*fulkan	Volk	fɔlk	f ɔ l k	f ɔ l k ( - - )	213	
785	English	*fulkan	folk	fəʊk	f əʊ k	f əʊ - k ( - - )	213	
786	Dutch	*fulkan	volk	vɔlk	v ɔ l k	v ɔ l k ( - - )	213	
787	Proto-Germanic	*dagaz	*dagaz	dagaz	d a g a z	d a g ( a z )	214	
788	German	*dagaz	Tag	taːk	t aː k	t aː g ( - - )	214	
789	English	*dagaz	day	deɪ	d eɪ	d eɪ - ( - - )	214	
790	Dutch	*dagaz	dag	dɑx	d ɑ x	d ɑ x ( - - )	214	
791	Proto-Germanic	*laukaz	*laukaz	laukaz	l au k a z	l au k ( a z )	215	
792	German	*laukaz	Lauch	laux	l au x	l au x ( - - )	215	
793	English	*laukaz	leek	liːk	l iː k	l iː k ( - - )	215	
794	Dutch	*laukaz	look	luːk	l uː k	l uː k ( - - )	215	
795	Proto-Germanic	*grasan	*grasan	grasan	g r a s a n	g r a s ( a n )	216	
796	German	*grasan	Gras	ɡraːs	g r aː s	g r aː s ( - - )	216	
797	English	*grasan	grass	ɡrɑːs	g r ɑː s	g r ɑː s ( - - )	216	
798	Dutch	*grasan	gras	xrɑs	x r ɑ s	x r ɑ s ( - - )	216	
799	Proto-Germanic	*werduz	*werduz	werduz	w e r d u z	w e r d ( u z )	217	
800	German	*werduz	Wirt	vɪrt	v ɪ r t	v ɪ r t ( - - )	217	
801	Dutch	*werduz	waard	ʋaːrt	ʋ aː r t	ʋ aː r t ( - - )	217	
802	Proto-Germanic	*brandaz	*brandaz	brandaz	b r a n d a z	b r a n d ( a z )	218	
803	German	*brandaz	Brand	brant	b r a n t	b r a n d ( - - )	218	
804	English	*brandaz	brand	brænd	b r æ n d	b r æ n d ( - - )	218	
805	Dutch	*brandaz	brand	brɑnt	b r ɑ n t	b r ɑ n t ( - - )	218	
806	Proto-Germanic	*sīnaz poss.	*sīnaz poss.	siːnaz_poss.	s iː n a z	s iː n ( a z )	219	
807	German	*sīnaz poss.	sein	zain	z ai n	z ai n ( - - )	219	
808	Dutch	*sīnaz poss.	zijn	zɛɪn	z ɛɪ n	z ɛɪ n ( - - )	219	
809	Proto-Germanic	*bakiz	*bakiz	bakiz	b a k i z	b a k ( i z )	220	
810	German	*bakiz	Bach	bax	b a x	b a x ( - - )	220	
811	Dutch	*bakiz	beek	beːk	b eː k	b eː k ( - - )	220	
812	Proto-Germanic	*wīsjanan	*wīsjanan	wiːsjanan	w iː s j a n a n	w iː s j a n ( a n )	221	
813	German	*wīsjanan	weisen	vaizən	v ai z ə n	v ai z - ə n ( - - )	221	
814	Dutch	*wīsjanan	wijzen	ʋɛɪzə	ʋ ɛɪ z ə	ʋ ɛɪ z - ə - ( - - )	221	
815	Proto-Germanic	*xawwjan	*xawwjan	xawwjan	x a w j a n	x a w ( j a n )	222	
816	German	*xawwjan	Heu	hɔy	h ɔy	h ɔy - ( - - - )	222	
817	English	*xawwjan	hay	heɪ	h eɪ	h eɪ - ( - - - )	222	
818	Dutch	*xawwjan	hooi	hoːj	h oː j	h oː - ( j - - )	222	
819	Proto-Germanic	*temran	*temran	temran	t e m r a n	t e m - - r ( a n )	223	
820	German	*temran	Zimmer	t͡sɪmər	ts ɪ m ə r	ts ɪ m - ə r ( - - )	223	
821	English	*temran	timber	tɪmbər	t ɪ m b ə r	t ɪ m b ə r ( - - )	223	
822	Proto-Germanic	*budmaz	*budmaz	budmaz	b u d m a z	b u d - m ( a z )	224	
823	German	*budmaz	Boden	boːdən	b oː d ə n	b oː d ə n ( - - )	224	BOR
824	English	*budmaz	bottom	bɔtəm	b ɔ t ə m	b ɔ t ə m ( - - )	224	
825	Dutch	*budmaz	bodem	boːdəm	b oː d ə m	b oː d ə m ( - - )	224	
826	Proto-Germanic	*uzdaz	*uzdaz	uzdaz	u z d a z	u z d ( a z )	225	
827	German	*uzdaz	Ort	ɔrt	ɔ r t	ɔ r t ( - - )	225	
828	Dutch	*uzdaz	oord	oːrt	oː r t	oː r t ( - - )	225	
829	Proto-Germanic	*xrōpanan	*xrōpanan	xroːpanan	x r oː p a n a n	x r oː p a n ( a n )	226	
830	German	*xrōpanan	rufen	ruːfən	r uː f ə n	- r uː f ə n ( - - )	226	
831	Dutch	*xrōpanan	roepen	ruːpə	r uː p ə	- r uː p ə - ( - - )	226	
832	Proto-Germanic	*stebnō	*stebnō	stebnoː	s t e b n oː	s t e b n oː	227	
833	German	*stebnō	Stimme	ʃtɪmə	ʃ t ɪ m ə	ʃ t ɪ - m ə	227	
834	Dutch	*stebnō	stem	stɛm	s t ɛ m	s t ɛ - m -	227	
835	Proto-Germanic	*jukan	*jukan	jukan	j u k a n	j u k ( a n )	228	
836	German	*jukan	Joch	jɔx	j ɔ x	j ɔ x ( - - )	228	
837	English	*jukan	yoke	jəʊk	j əʊ k	j əʊ k ( - - )	228	
838	Dutch	*jukan	juk	jʉk	j ʉ k	j ʉ k ( - - )	228	
839	Proto-Germanic	*sparēnan	*sparēnan	spareːnan	s p a r eː n a n	s p a r eː n ( a n )	229	
840	German	*sparēnan	sparen	ʃpaːrən	ʃ p aː r ə n	ʃ p aː r ə n ( - - )	229	
841	English	*sparēnan	spare	spɛər	s p ɛə r	s p ɛə r - - ( - - )	229	
842	Dutch	*sparēnan	sparen	spaːrə	s p aː r ə	s p aː r ə - ( - - )	229	
843	Proto-Germanic	*līban	*līban	liːban	l iː b a n	l iː b ( a n )	230	
844	German	*līban	Leib	laip	l ai p	l ai b ( - - )	230	
845	English	*līban	life	laɪf	l aɪ f	l aɪ f ( - - )	230	
846	Dutch	*līban	lijf	lɛɪf	l ɛɪ f	l ɛɪ f ( - - )	230	
847	Proto-Germanic	*xraigrōn	*xraigrōn	xraigroːn	x r ai g r oː n	x r ai g - r ( oː n )	231	
848	German	*xraigrōn	Reiher	raiər	r ai ə r	- r ai - ə r ( - - )	231	
849	Dutch	*xraigrōn	reiger	rɛɪɣər	r ɛɪ ɣ ə r	- r ɛɪ ɣ ə r ( - - )	231	
850	Proto-Germanic	*stallaz	*stallaz	stallaz	s t a ll a z	s t a ll ( a z )	232	
851	German	*stallaz	Stall	ʃtal	ʃ t a l	ʃ t a l ( - - )	232	
852	Dutch	*stallaz	stal	stɑl	s t ɑ l	s t ɑ l ( - - )	232	
853	Proto-Germanic	*waxsan	*waxsan	waxsan	w a x s a n	w a x s ( a n )	233	
854	German	*waxsan	Wachs	vaks	v a k s	v a k s ( - - )	233	
855	English	*waxsan	wax	ʋæks	ʋ æ k s	ʋ æ k s ( - - )	233	
856	Dutch	*waxsan	was	ʋɑs	ʋ ɑ s	ʋ ɑ - s ( - - )	233	
857	Proto-Germanic	*xariz	*xariz	xariz	x a r i z	x a r ( i z )	234	
858	German	*xariz	Heer	heːr	h eː r	h eː r ( - - )	234	
859	Dutch	*xariz	heer	heːr	h eː r	h eː r ( - - )	234	
860	Proto-Germanic	*blōdan	*blōdan	bloːdan	b l oː d a n	b l oː d ( a n )	235	
861	German	*blōdan	Blut	bluːt	b l uː t	b l uː t ( - - )	235	
862	English	*blōdan	blood	blʌd	b l ʌ d	b l ʌ d ( - - )	235	
863	Dutch	*blōdan	bloed	bluːt	b l uː t	b l uː t ( - - )	235	
864	Proto-Germanic	*lukan	*lukan	lukan	l u k a n	l u k ( a n )	236	
865	German	*lukan	Loch	lɔx	l ɔ x	l ɔ x ( - - )	236	
866	English	*lukan	lock	lɔk	l ɔ k	l ɔ k ( - - )	236	
867	Proto-Germanic	*texun	*texun	texun	t e x u n	t e x u n	237	
868	German	*texun	zehn	t͡seːn	ts eː n	ts eː - - n	237	
869	English	*texun	ten	tɛn	t ɛ n	t ɛ - - n	237	
870	Dutch	*texun	tien	tiːn	t iː n	t iː - - n	237	
871	Proto-Germanic	*xwerbanan	*xwerbanan	xwerbanan	x w e r b a n a n	x w e r b a n ( a n )	238	
872	German	*xwerbanan	werben	vɛrbən	v ɛ r b ə n	- v ɛ r b ə n ( - - )	238	
873	Dutch	*xwerbanan	werven	ʋɛrvə	ʋ ɛ r v ə	- ʋ ɛ r v ə - ( - - )	238	
874	Proto-Germanic	*jugunθiz	*jugunθiz	jugunθiz	j u g u n θ i z	j u g u n θ ( i z )	239	
875	German	*jugunθiz	Jugend	juːɡənt	j uː g ə n t	j uː g ə n d ( - - )	239	
876	English	*jugunθiz	youth	juːθ	j uː θ	j uː - - - θ ( - - )	239	
877	Dutch	*jugunθiz	jeugd	jøːxt	j øː x t	j øː x - - t ( - - )	239	
878	Proto-Germanic	*θwenganan	*θwenganan	θwenganan	θ w e n g a n a n	θ w e n g a n ( a n )	240	
879	German	*θwenganan	zwingen	t͡svɪŋən	ts v ɪ ŋ ə n	ts v ɪ ŋ - ə n ( - - )	240	
880	Dutch	*θwenganan	dwingen	dʋɪŋə	d ʋ ɪ ŋ ə	d ʋ ɪ ŋ - ə - ( - - )	240	
881	Proto-Germanic	*regna-bugōn	*regna-bugōn	regna+bugoːn	r e g n a + b u g oː n	r e g - ( n a b u g oː n )	241	
882	German	*regna-bugōn	Regenbogen	reːɡənboːɡən	r eː g ə n b oː g ə n	r eː g ə ( n - b oː g ə n )	241	DUP
883	English	*regna-bugōn	rainbow	reɪnbəʊ	r eɪ n b əʊ	r eɪ - - ( n - b əʊ - - - )	241	
884	Dutch	*regna-bugōn	regenboog	reːɣəmboːx	r eː ɣ ə m b oː x	r eː ɣ ə ( m - b oː x - - )	241	
885	Proto-Germanic	*kruppaz	*kruppaz	kruppaz	k r u pp a z	k r u pp ( a z )	242	
886	German	*kruppaz	Kropf	krɔp͡f	k r ɔ pf	k r ɔ pf ( - - )	242	
887	English	*kruppaz	crop	krɔp	k r ɔ p	k r ɔ p ( - - )	242	
888	Dutch	*kruppaz	krop	krɔp	k r ɔ p	k r ɔ p ( - - )	242	
889	Proto-Germanic	*dreupanan	*dreupanan	dreupanan	d r eu p a n a n	d r eu p a n ( a n )	243	
890	German	*dreupanan	triefen	triːfən	t r iː f ə n	t r iː f ə n ( - - )	243	
891	Dutch	*dreupanan	druipen	drœypə	d r œy p ə	d r œy p ə - ( - - )	243	
892	Proto-Germanic	*fōdran	*fōdran	foːdran	f oː d r a n	f oː d - r ( a n )	244	
893	German	*fōdran	Futter	fʊtər	f ʊ t ə r	f ʊ t ə r ( - - )	244	
894	English	*fōdran	fodder	fɔdər	f ɔ d ə r	f ɔ d ə r ( - - )	244	
895	Dutch	*fōdran	voer	vuːr	v uː r	v uː - - r ( - - )	244	
896	Proto-Germanic	*lungwan	*lungwan	lungwan	l u n g w a n	l u n g w a ( n )	245	
