ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
177	Latin	lati1261	88	aranea-araña	aranea	ɑ ɾ ɑ n eɑ	ɑ ɾ ɑ n - eɑ	Hartman2003
178	Spanish	stan1288	88	aranea-araña	araña	ɑ ɾ ɑ ɲ ɑ	ɑ ɾ ɑ ɲ - ɑ	Hartman2003
179	Latin	lati1261	89	araneola-arañuela	araneola	ɑ ɾ ɑ n eo l ɑ	ɑ ɾ ɑ n - eo l ɑ	Hartman2003
180	Spanish	stan1288	89	araneola-arañuela	arañuela	ɑ ɾ ɑ ɲ w e l ɑ	ɑ ɾ ɑ ɲ w e l ɑ	Hartman2003
181	Latin	lati1261	90	araneolu-arañuelo	araneolu	ɑ ɾ ɑ n eo l u	ɑ ɾ ɑ n - - eo l u	Hartman2003
182	Spanish	stan1288	90	araneolu-arañuelo	arañuelo	ɑ ɾ ɑ ɲ w e l o	ɑ ɾ ɑ ɲ w - e l o	Hartman2003
183	Latin	lati1261	91	aratōre-arador	aratōre	ɑ ɾ ɑ t oː ɾ e	ɑ ɾ ɑ t oː ɾ e	Hartman2003
184	Spanish	stan1288	91	aratōre-arador	arador	ɑ ɾ ɑ ð o ɾ	ɑ ɾ ɑ ð o ɾ -	Hartman2003
185	Latin	lati1261	92	aratūra-aradura	aratūra	ɑ ɾ ɑ t uː ɾ ɑ	ɑ ɾ ɑ t uː ɾ ɑ	Hartman2003
186	Spanish	stan1288	92	aratūra-aradura	aradura	ɑ ɾ ɑ ð u ɾ ɑ	ɑ ɾ ɑ ð u ɾ ɑ	Hartman2003
187	Latin	lati1261	93	arca-arca	arca	ɑ ɾ k ɑ	ɑ ɾ k ɑ	Hartman2003
188	Spanish	stan1288	93	arca-arca	arca	ɑ ɾ k ɑ	ɑ ɾ k ɑ	Hartman2003
189	Latin	lati1261	94	arcariu-arquero	arcariu	ɑ ɾ k ɑ ɾ iu	ɑ ɾ k ɑ - ɾ - iu	Hartman2003
