grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
ãõ	ãõ	from nasalized unrounded open front to nasalized rounded close-mid back diphthong	eurasian;gld;napa									back														close-mid									nasalized																				rounded				diphthong													
ãũ	ãũ	from nasalized unrounded open front to nasalized rounded close back diphthong	eurasian;gld;lapsyd;napa									back														close									nasalized																				rounded				diphthong													
ãu̯	ãu̯	from nasalized unrounded open front to non-syllabic rounded close back diphthong	gld									back														close									nasalized																				rounded				diphthong				non-syllabic									
ãũ̯	ãũ̯	from nasalized unrounded open front to non-syllabic nasalized rounded close back diphthong	gld									back														close									nasalized																				rounded				diphthong				non-syllabic									
ãw	ãu̯	from nasalized unrounded open front to non-syllabic rounded close back diphthong	eurasian									back														close									nasalized																				rounded				diphthong				non-syllabic									
ãw̃	ãũ̯	from nasalized unrounded open front to non-syllabic nasalized rounded close back diphthong	eurasian									back														close									nasalized																				rounded				diphthong				non-syllabic									
ãı̯ː	ãɪ̯ː	from nasalized unrounded open front to long non-syllabic unrounded near-close near-front diphthong	gld									near-front					long									near-close									nasalized																				unrounded				diphthong				non-syllabic									
ãɛ̃	ãɛ̃	from nasalized unrounded open front to nasalized unrounded open-mid front diphthong	eurasian;gld;napa									front														open-mid									nasalized																				unrounded				diphthong													
ãɪ̯ː	ãɪ̯ː	from nasalized unrounded open front to long non-syllabic unrounded near-close near-front diphthong	eurasian									near-front					long									near-close									nasalized																				unrounded				diphthong				non-syllabic									
ãʉ̃	ãʉ̃	from nasalized unrounded open front to nasalized rounded close central diphthong	gld;lapsyd;napa									central														close									nasalized																				rounded				diphthong													
ãʲ	ãi	from nasalized unrounded open front to unrounded close front diphthong	saphon									front														close									nasalized																				unrounded				diphthong													
ãˀ	ãˀ	glottalized nasalized unrounded open front vowel	gld;lapsyd									front												glottalized		open									nasalized																				unrounded				vowel													
ãː	ãː	long nasalized unrounded open front vowel	bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;nidaba;saphon									front					long									open									nasalized																				unrounded				vowel													
ãˤ	ãˤ	pharyngealized nasalized unrounded open front vowel	gld;jipa									front														open									nasalized				pharyngealized																unrounded				vowel													
ãˤː	ãˤː	long pharyngealized nasalized unrounded open front vowel	gld									front					long									open									nasalized				pharyngealized																unrounded				vowel													
ã̘	ã̘	advanced-tongue-root nasalized unrounded open front vowel	bdproto									front														open									nasalized																				unrounded				vowel								advanced-tongue-root					
ã̤	ã̤	nasalized breathy unrounded open front vowel	eurasian							breathy		front														open									nasalized																				unrounded				vowel													
