grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
ḁ̃	ḁ̃	nasalized devoiced unrounded open front vowel	nidaba									front														open									nasalized																				unrounded				vowel												devoiced	
ḁ̃ː	ḁ̃ː	long nasalized devoiced unrounded open front vowel	nidaba									front					long									open									nasalized																				unrounded				vowel												devoiced	
ã̰	ã̰	nasalized creaky unrounded open front vowel	jipa;lapsyd									front			creaky											open									nasalized																				unrounded				vowel													
ā	ā	unrounded open front with-mid_tone vowel	diachronica									front														open																													unrounded				vowel						with-mid_tone							
ă	ă	ultra-short unrounded open front vowel	bipa;diachronica;lapsyd									front					ultra-short									open																													unrounded				vowel													
ä	æ	unrounded near-open front vowel	gld									front														near-open																													unrounded				vowel													
ä	ä	centralized unrounded open front vowel	bipa;eurasian									front														open																							centralized						unrounded				vowel													
äe	æe	from unrounded near-open front to unrounded close-mid front diphthong	gld									front														close-mid																													unrounded				diphthong													
äe̯	æe̯	from unrounded near-open front to non-syllabic unrounded close-mid front diphthong	gld									front														close-mid																													unrounded				diphthong				non-syllabic									
äẽ̯	æẽ̯	from unrounded near-open front to non-syllabic nasalized unrounded close-mid front diphthong	gld									front														close-mid									nasalized																				unrounded				diphthong				non-syllabic									
äi	æi	from unrounded near-open front to unrounded close front diphthong	gld									front														close																													unrounded				diphthong													
äi̯	äi̯	from centralized unrounded open front to non-syllabic unrounded close front diphthong	eurasian									front														close																							centralized						unrounded				diphthong				non-syllabic									
äi̯	æi̯	from unrounded near-open front to non-syllabic unrounded close front diphthong	gld									front														close																													unrounded				diphthong				non-syllabic									
äo	æo	from unrounded near-open front to rounded close-mid back diphthong	gld									back														close-mid																													rounded				diphthong													
äu	æu	from unrounded near-open front to rounded close back diphthong	gld									back														close																													rounded				diphthong													
äu̯	æu̯	from unrounded near-open front to non-syllabic rounded close back diphthong	gld									back														close																													rounded				diphthong				non-syllabic									
äu̯	äu̯	from centralized unrounded open front to non-syllabic rounded close back diphthong	eurasian									back														close																							centralized						rounded				diphthong				non-syllabic									
äı	æɪ	from unrounded near-open front to unrounded near-close near-front diphthong	gld									near-front														near-close																													unrounded				diphthong													
äı̯	æɪ̯	from unrounded near-open front to non-syllabic unrounded near-close near-front diphthong	gld									near-front														near-close																													unrounded				diphthong				non-syllabic									
äɔ	æɔ	from unrounded near-open front to rounded open-mid back diphthong	gld									back														open-mid																													rounded				diphthong													
äɛ	æɛ	from unrounded near-open front to unrounded open-mid front diphthong	gld									front														open-mid																													unrounded				diphthong													
äʉ	æʉ	from unrounded near-open front to rounded close central diphthong	gld									central														close																													rounded				diphthong													
äˀ	æˀ	glottalized unrounded near-open front vowel	gld									front												glottalized		near-open																													unrounded				vowel													
äː	äː	long centralized unrounded open front vowel	bipa;eurasian									front					long									open																							centralized						unrounded				vowel													
äː	æː	long unrounded near-open front vowel	gld									front					long									near-open																													unrounded				vowel													
äːi	æːi	from long unrounded near-open front to unrounded close front diphthong	gld									front					long									close																													unrounded				diphthong													
äːı	æːɪ	from long unrounded near-open front to unrounded near-close near-front diphthong	gld									near-front					long									near-close																													unrounded				diphthong													
äː̃	ä̃ː	long centralized nasalized unrounded open front vowel	eurasian									front					long									open									nasalized														centralized						unrounded				vowel													
äˑ	æˑ	mid-long unrounded near-open front vowel	gld									front					mid-long									near-open																													unrounded				vowel													
ä˞	æ˞	rhotacized unrounded near-open front vowel	gld									front														near-open																											rhotacized		unrounded				vowel													
äˠ	æˠ	velarized unrounded near-open front vowel	gld									front														near-open																													unrounded				vowel										velarized			
äˠː	æˠː	long velarized unrounded near-open front vowel	gld									front					long									near-open																													unrounded				vowel										velarized			
äˤ	æˤ	pharyngealized unrounded near-open front vowel	gld									front														near-open													pharyngealized																unrounded				vowel													
äˤː	æˤː	long pharyngealized unrounded near-open front vowel	gld									front					long									near-open													pharyngealized																unrounded				vowel													
ä̃	æ̃	nasalized unrounded near-open front vowel	gld									front														near-open									nasalized																				unrounded				vowel													
ä̃	ä̃	centralized nasalized unrounded open front vowel	eurasian									front														open									nasalized														centralized						unrounded				vowel													
ä̃i	æ̃i	from nasalized unrounded near-open front to unrounded close front diphthong	gld									front														close									nasalized																				unrounded				diphthong													
ä̃ı̯̃	æ̃ɪ̯̃	from nasalized unrounded near-open front to non-syllabic nasalized unrounded near-close near-front diphthong	gld									near-front														near-close									nasalized																				unrounded				diphthong				non-syllabic									
ä̃ː	ä̃ː	long centralized nasalized unrounded open front vowel	eurasian									front					long									open									nasalized														centralized						unrounded				vowel													
ä̃ː	æ̃ː	long nasalized unrounded near-open front vowel	gld									front					long									near-open									nasalized																				unrounded				vowel													
